x,y,score,row_id,region,x_min,x_max,y_min,y_max
16110.022,16933.076,-0.178963544909952,54872,Bottom-middle,14100,17500,16300,19000
16110.306,17332.422,0.0826227173552058,55317,Bottom-middle,14100,17500,16300,19000
16112.771,17265.09,0.256331264190844,55221,Bottom-middle,14100,17500,16300,19000
16115.448,17356.781,-0.022473932772916,55351,Bottom-middle,14100,17500,16300,19000
16115.622,17018.717,0.108932250664563,54959,Bottom-middle,14100,17500,16300,19000
16115.72,16866.346,-0.100043527567138,54766,Bottom-middle,14100,17500,16300,19000
16116.271,18744.973,0.226597222502194,66103,Bottom-middle,14100,17500,16300,19000
16119.356,18919.355,0.117222305056019,66440,Bottom-middle,14100,17500,16300,19000
16121.591,18130.172,-0.158656558114263,65215,Bottom-middle,14100,17500,16300,19000
16122.181,18812.785,-0.0219386072943553,66219,Bottom-middle,14100,17500,16300,19000
16123.377,17562.904,0.120790822754685,55556,Bottom-middle,14100,17500,16300,19000
16124.106,18863.902,0.14256931234751,66313,Bottom-middle,14100,17500,16300,19000
16124.494,18578.516,-0.104085890835523,65792,Bottom-middle,14100,17500,16300,19000
16127.184,17823.725,-0.16252690272421,55779,Bottom-middle,14100,17500,16300,19000
16130.28,18722.326,0.170248631464094,66052,Bottom-middle,14100,17500,16300,19000
16132.373,17164.58,-0.0149529047431844,55126,Bottom-middle,14100,17500,16300,19000
16132.866,17601.611,-0.0409157249095003,55592,Bottom-middle,14100,17500,16300,19000
16138.816,18906.62,0.19464390952947,66407,Bottom-middle,14100,17500,16300,19000
16138.938,16610.904,-0.0679539316674705,54467,Bottom-middle,14100,17500,16300,19000
16139.517,18060.475,-0.18122145243261,65174,Bottom-middle,14100,17500,16300,19000
16140.06,17514.998,-0.0711362771687415,55479,Bottom-middle,14100,17500,16300,19000
16141.34,17629.543,0.152883847322401,55616,Bottom-middle,14100,17500,16300,19000
16142.984,17214.756,0.266634199111833,55179,Bottom-middle,14100,17500,16300,19000
16144.881,17402.002,0.260438120055756,55402,Bottom-middle,14100,17500,16300,19000
16146.329,17673.47,0.178100938460609,55652,Bottom-middle,14100,17500,16300,19000
16148.125,17705.525,0.126430756582406,55688,Bottom-middle,14100,17500,16300,19000
16150.924,18880.82,0.175112361269599,66336,Bottom-middle,14100,17500,16300,19000
16152.25,18539.797,0.0426671662484627,65725,Bottom-middle,14100,17500,16300,19000
16152.369,17959.496,0.0138924070954751,55931,Bottom-middle,14100,17500,16300,19000
16153.709,18213.65,-0.167776120660649,65319,Bottom-middle,14100,17500,16300,19000
16153.972,16836.332,-0.0343965359021818,54739,Bottom-middle,14100,17500,16300,19000
16154.43,18837.373,0.27476245022149,66280,Bottom-middle,14100,17500,16300,19000
16156.38,16494.64,-0.0835030729293233,54356,Bottom-middle,14100,17500,16300,19000
16157.028,17063.98,0.256149879292027,55007,Bottom-middle,14100,17500,16300,19000
16158.532,18690.588,0.249350167584039,65983,Bottom-middle,14100,17500,16300,19000
16161.216,18754.45,0.206080428332511,66123,Bottom-middle,14100,17500,16300,19000
16163.006,18977.893,0.34225703952445,66547,Bottom-middle,14100,17500,16300,19000
16163.142,18343.29,-0.0341952373902798,65456,Bottom-middle,14100,17500,16300,19000
